6.990305175781250000e+02 6.485084228515625000e+02 6.715169677734375000e+02 6.712122802734375000e+02 6.090032958984375000e+02 6.177318115234375000e+02 6.210475463867187500e+02 6.031791381835937500e+02 6.174134521484375000e+02 6.255546875000000000e+02 6.173859863281250000e+02 6.174688720703125000e+02 6.611278076171875000e+02 6.978438720703125000e+02 7.199890747070312500e+02 7.251297607421875000e+02 7.581793823242187500e+02 8.133363037109375000e+02 7.470927124023437500e+02 6.926750488281250000e+02 7.209724121093750000e+02 7.569976806640625000e+02 7.021374511718750000e+02 6.125011596679687500e+02 4.770951538085937500e+02 4.352297668457031250e+02 4.984575805664062500e+02 4.885870971679687500e+02 4.645783996582031250e+02 5.060167846679687500e+02 5.780391235351562500e+02 5.314873657226562500e+02 6.074031982421875000e+02 6.799401855468750000e+02 7.123695678710937500e+02 6.669664916992187500e+02 6.236705322265625000e+02 5.829252929687500000e+02 5.458409423828125000e+02 5.704571533203125000e+02 6.464873046875000000e+02 6.682578125000000000e+02 7.704117431640625000e+02 7.821259155273437500e+02 7.801469116210937500e+02 6.984289550781250000e+02 6.996676025390625000e+02 7.111617431640625000e+02 6.199018554687500000e+02 6.483640136718750000e+02 6.424441528320312500e+02 6.288865966796875000e+02 6.713115234375000000e+02 7.552421875000000000e+02 8.030339965820312500e+02 7.778689575195312500e+02 8.856962890625000000e+02 8.463395996093750000e+02 8.359831542968750000e+02 8.582666625976562500e+02 8.182852783203125000e+02 8.829635009765625000e+02 8.981468505859375000e+02 8.952498779296875000e+02 9.054074707031250000e+02 9.092655029296875000e+02 9.385622558593750000e+02 8.927741699218750000e+02 9.069664916992187500e+02 9.118442382812500000e+02 9.223517456054687500e+02 9.213502807617187500e+02
7.783218994140625000e+02 7.355040283203125000e+02 7.098873901367187500e+02 6.510261230468750000e+02 6.048902587890625000e+02 6.410266723632812500e+02 7.271992187500000000e+02 6.895025634765625000e+02 6.145588378906250000e+02 6.358212890625000000e+02 6.520329589843750000e+02 6.188582763671875000e+02 6.412460937500000000e+02 6.676547851562500000e+02 7.160600585937500000e+02 7.856694335937500000e+02 8.615528564453125000e+02 8.255922851562500000e+02 7.326235961914062500e+02 6.866087646484375000e+02 6.681677246093750000e+02 7.149411010742187500e+02 7.155268554687500000e+02 6.033215332031250000e+02 4.798097534179687500e+02 4.378167114257812500e+02 4.465351562500000000e+02 5.412598876953125000e+02 5.948279418945312500e+02 5.972402343750000000e+02 6.698442382812500000e+02 6.004705810546875000e+02 5.824755859375000000e+02 6.331091918945312500e+02 6.991218872070312500e+02 7.163967285156250000e+02 7.163067626953125000e+02 6.654028320312500000e+02 6.250247192382812500e+02 6.071940917968750000e+02 6.360390625000000000e+02 7.069566040039062500e+02 7.832658691406250000e+02 7.502606811523437500e+02 7.541711425781250000e+02 7.059266357421875000e+02 6.333095703125000000e+02 6.242426757812500000e+02 5.984896850585937500e+02 5.892664794921875000e+02 5.862947387695312500e+02 6.390732421875000000e+02 6.877357177734375000e+02 7.212478027343750000e+02 7.405443115234375000e+02 7.392373657226562500e+02 8.745583496093750000e+02 8.074451293945312500e+02 8.054851684570312500e+02 8.287987060546875000e+02 7.845935058593750000e+02 8.442066650390625000e+02 8.233524780273437500e+02 8.535335693359375000e+02 9.394299926757812500e+02 9.015964965820312500e+02 8.998218994140625000e+02 9.114362792968750000e+02 8.756440429687500000e+02 8.999638061523437500e+02 9.147060546875000000e+02 9.335147705078125000e+02
7.785429687500000000e+02 7.257576293945312500e+02 6.554842529296875000e+02 6.168847045898437500e+02 6.436745605468750000e+02 6.945707397460937500e+02 7.536794433593750000e+02 6.883353881835937500e+02 6.115158691406250000e+02 6.262709350585937500e+02 6.590136718750000000e+02 6.698250122070312500e+02 6.990964965820312500e+02 7.315913696289062500e+02 7.794956665039062500e+02 8.187196044921875000e+02 8.899828491210937500e+02 8.589217529296875000e+02 7.611507568359375000e+02 7.153260498046875000e+02 6.908041992187500000e+02 6.459057006835937500e+02 6.438568725585937500e+02 5.674262084960937500e+02 5.913308105468750000e+02 4.926385498046875000e+02 4.417450256347656250e+02 4.711839599609375000e+02 5.364099731445312500e+02 5.973359375000000000e+02 6.340252075195312500e+02 6.578950195312500000e+02 6.689525756835937500e+02 6.732534179687500000e+02 7.052474365234375000e+02 7.813431396484375000e+02 7.342279663085937500e+02 7.109705810546875000e+02 6.643409423828125000e+02 6.798674316406250000e+02 7.639790039062500000e+02 7.924011230468750000e+02 7.752530517578125000e+02 7.395004882812500000e+02 7.008967285156250000e+02 6.234896850585937500e+02 5.841186523437500000e+02 5.597597656250000000e+02 5.923822021484375000e+02 5.682725830078125000e+02 5.967385864257812500e+02 6.235241699218750000e+02 6.457988891601562500e+02 6.548590087890625000e+02 6.686540527343750000e+02 7.113607177734375000e+02 8.186734619140625000e+02 7.943814086914062500e+02 7.746308593750000000e+02 7.730224609375000000e+02 7.552807006835937500e+02 7.759835815429687500e+02 8.152603759765625000e+02 8.785765380859375000e+02 9.631317138671875000e+02 9.456176757812500000e+02 9.251177978515625000e+02 8.934987792968750000e+02 8.767954101562500000e+02 8.617398681640625000e+02 8.924031982421875000e+02 8.947886962890625000e+02
7.809276733398437500e+02 7.372952880859375000e+02 6.761862182617187500e+02 6.266072998046875000e+02 6.274237670898437500e+02 6.919454345703125000e+02 7.490413818359375000e+02 7.334758911132812500e+02 6.165341796875000000e+02 6.575953979492187500e+02 6.534654541015625000e+02 6.672593994140625000e+02 6.612393798828125000e+02 7.088838500976562500e+02 7.688665771484375000e+02 7.843881835937500000e+02 8.639919433593750000e+02 8.693852539062500000e+02 8.312856445312500000e+02 7.556575317382812500e+02 7.188474121093750000e+02 6.574326171875000000e+02 5.901030273437500000e+02 6.071147460937500000e+02 5.933666992187500000e+02 4.891575317382812500e+02 4.407753906250000000e+02 4.640594787597656250e+02 5.362928466796875000e+02 5.709181518554687500e+02 6.180384521484375000e+02 6.389089355468750000e+02 6.543702392578125000e+02 7.104574584960937500e+02 7.480760498046875000e+02 8.117262573242187500e+02 7.704528198242187500e+02 7.159712524414062500e+02 7.058981933593750000e+02 7.078778076171875000e+02 8.002258300781250000e+02 8.212568359375000000e+02 7.601534423828125000e+02 7.238334960937500000e+02 6.906470947265625000e+02 6.278104858398437500e+02 6.555092163085937500e+02 5.901482543945312500e+02 5.581202392578125000e+02 5.740950317382812500e+02 5.808386840820312500e+02 6.102901611328125000e+02 6.266364746093750000e+02 6.140840454101562500e+02 6.349671630859375000e+02 7.158480224609375000e+02 7.953338623046875000e+02 7.529506835937500000e+02 7.344027099609375000e+02 7.318951416015625000e+02 7.523928222656250000e+02 8.213652343750000000e+02 8.680518798828125000e+02 8.799707031250000000e+02 9.598755493164062500e+02 9.754885253906250000e+02 9.500734252929687500e+02 9.288633422851562500e+02 9.061806640625000000e+02 8.683206787109375000e+02 8.784740600585937500e+02 8.793720703125000000e+02
8.038660888671875000e+02 7.584695434570312500e+02 7.025215454101562500e+02 6.612767944335937500e+02 7.187088623046875000e+02 7.299986572265625000e+02 7.112063598632812500e+02 7.283762207031250000e+02 7.403800659179687500e+02 7.053436889648437500e+02 6.910355224609375000e+02 7.652082519531250000e+02 7.357258300781250000e+02 7.357170410156250000e+02 7.212799682617187500e+02 7.470476074218750000e+02 8.195989379882812500e+02 7.928180541992187500e+02 7.997126464843750000e+02 7.652982177734375000e+02 7.033272094726562500e+02 6.760223999023437500e+02 7.201894531250000000e+02 7.075904541015625000e+02 5.671737060546875000e+02 4.673589477539062500e+02 4.269791259765625000e+02 4.591004638671875000e+02 5.621140747070312500e+02 5.993896484375000000e+02 6.296865234375000000e+02 6.011069335937500000e+02 6.028019409179687500e+02 6.479605102539062500e+02 6.948486328125000000e+02 7.545751953125000000e+02 7.869356079101562500e+02 7.596787719726562500e+02 7.463406982421875000e+02 7.231809082031250000e+02 8.256979980468750000e+02 8.369565429687500000e+02 7.671736450195312500e+02 7.121807250976562500e+02 6.941081542968750000e+02 7.031835327148437500e+02 7.501318359375000000e+02 6.847523803710937500e+02 5.643275756835937500e+02 5.364051513671875000e+02 5.789411621093750000e+02 5.997653808593750000e+02 6.018087158203125000e+02 6.014339599609375000e+02 6.518360595703125000e+02 7.169881591796875000e+02 6.915975341796875000e+02 6.948394165039062500e+02 7.660641479492187500e+02 7.991488037109375000e+02 8.473131103515625000e+02 8.359633178710937500e+02 7.936260375976562500e+02 7.998350219726562500e+02 9.223159179687500000e+02 9.552564697265625000e+02 9.305613403320312500e+02 9.292283325195312500e+02 9.012324218750000000e+02 8.762604980468750000e+02 8.509847412109375000e+02 7.909154052734375000e+02
8.122857666015625000e+02 7.538825683593750000e+02 7.262490234375000000e+02 6.703308105468750000e+02 7.443745727539062500e+02 7.423773193359375000e+02 6.918548583984375000e+02 6.867675781250000000e+02 7.521309814453125000e+02 7.415621337890625000e+02 7.185455932617187500e+02 7.518962402343750000e+02 7.569025878906250000e+02 7.873036499023437500e+02 7.752902221679687500e+02 7.699879150390625000e+02 7.659581298828125000e+02 7.523069458007812500e+02 7.488030395507812500e+02 7.704822998046875000e+02 7.500244140625000000e+02 7.153986206054687500e+02 7.573082885742187500e+02 6.792419433593750000e+02 5.361885986328125000e+02 4.561122436523437500e+02 4.136901550292968750e+02 4.474251708984375000e+02 5.274274902343750000e+02 5.652402954101562500e+02 5.739951171875000000e+02 5.735243530273437500e+02 6.325993652343750000e+02 6.374146118164062500e+02 6.607865600585937500e+02 7.107816772460937500e+02 7.888780517578125000e+02 7.563987426757812500e+02 7.455632934570312500e+02 7.322968750000000000e+02 8.042202758789062500e+02 8.483460693359375000e+02 7.792231445312500000e+02 7.611059570312500000e+02 7.083217163085937500e+02 7.154631347656250000e+02 7.720661621093750000e+02 7.115291748046875000e+02 6.000928344726562500e+02 5.563360595703125000e+02 5.692163696289062500e+02 5.771044311523437500e+02 5.826779785156250000e+02 5.848740844726562500e+02 6.388367309570312500e+02 7.029493408203125000e+02 6.665552978515625000e+02 6.904858398437500000e+02 7.506301269531250000e+02 8.167706909179687500e+02 8.236491088867187500e+02 7.916453247070312500e+02 7.722478027343750000e+02 8.094758300781250000e+02 9.237180786132812500e+02 9.579058837890625000e+02 9.365056762695312500e+02 9.131400756835937500e+02 8.909678955078125000e+02 8.853272094726562500e+02 8.882646484375000000e+02 8.489677734375000000e+02
8.062283935546875000e+02 7.771569824218750000e+02 7.658640747070312500e+02 7.157327270507812500e+02 7.780402221679687500e+02 7.522547607421875000e+02 6.697783813476562500e+02 6.131140136718750000e+02 6.676727294921875000e+02 6.261091308593750000e+02 6.623576660156250000e+02 6.856731567382812500e+02 6.699935302734375000e+02 7.136741943359375000e+02 7.640711669921875000e+02 8.166983642578125000e+02 6.856417236328125000e+02 6.885926513671875000e+02 6.621180419921875000e+02 6.966528320312500000e+02 6.975677490234375000e+02 7.421646118164062500e+02 7.914266357421875000e+02 7.010424194335937500e+02 5.824895629882812500e+02 4.772851562500000000e+02 4.188529052734375000e+02 4.390878295898437500e+02 4.778827514648437500e+02 5.218808593750000000e+02 5.783949584960937500e+02 6.502044677734375000e+02 7.250132446289062500e+02 6.970804443359375000e+02 7.308429565429687500e+02 7.383037109375000000e+02 7.333170776367187500e+02 7.806082153320312500e+02 7.871221923828125000e+02 7.875534667968750000e+02 8.079731445312500000e+02 8.267989501953125000e+02 7.698264770507812500e+02 7.451115722656250000e+02 7.217144775390625000e+02 7.995681152343750000e+02 8.227972412109375000e+02 7.444131469726562500e+02 6.425369873046875000e+02 5.842837524414062500e+02 5.276444091796875000e+02 5.537867431640625000e+02 5.785413208007812500e+02 5.629762573242187500e+02 5.999097900390625000e+02 6.654899291992187500e+02 6.172797851562500000e+02 6.727333374023437500e+02 7.467067871093750000e+02 7.416664428710937500e+02 7.436724853515625000e+02 7.074868164062500000e+02 7.574515380859375000e+02 8.474672241210937500e+02 9.074251098632812500e+02 9.710706176757812500e+02 9.535026855468750000e+02 9.332926025390625000e+02 9.061008911132812500e+02 9.233674926757812500e+02 9.643521118164062500e+02 9.261412353515625000e+02
9.254503784179687500e+02 8.670439453125000000e+02 7.964951171875000000e+02 7.545753173828125000e+02 8.068226318359375000e+02 7.725996093750000000e+02 7.058918457031250000e+02 6.471237182617187500e+02 6.121365966796875000e+02 6.211247558593750000e+02 6.056960449218750000e+02 6.400574951171875000e+02 6.038646240234375000e+02 6.590270996093750000e+02 7.096633300781250000e+02 7.487135009765625000e+02 6.912890625000000000e+02 6.077535400390625000e+02 6.466431884765625000e+02 6.086213378906250000e+02 6.582258911132812500e+02 7.128123779296875000e+02 7.662253417968750000e+02 7.075364379882812500e+02 5.916273803710937500e+02 5.195023803710937500e+02 4.186131896972656250e+02 4.206282043457031250e+02 5.006934204101562500e+02 5.781793212890625000e+02 5.842667236328125000e+02 6.223920898437500000e+02 6.512423095703125000e+02 6.141843261718750000e+02 6.764652099609375000e+02 6.382478027343750000e+02 6.679236450195312500e+02 7.374940185546875000e+02 7.447709960937500000e+02 7.617553710937500000e+02 8.476174316406250000e+02 8.398193359375000000e+02 7.782230224609375000e+02 7.180829467773437500e+02 7.613098144531250000e+02 8.036252441406250000e+02 8.582072753906250000e+02 7.907839965820312500e+02 7.126311645507812500e+02 6.379614257812500000e+02 5.666879272460937500e+02 5.234836425781250000e+02 5.520067138671875000e+02 5.551339721679687500e+02 5.956660766601562500e+02 5.946375732421875000e+02 5.898158569335937500e+02 6.684168090820312500e+02 6.624462280273437500e+02 6.660281372070312500e+02 6.600272827148437500e+02 6.550123291015625000e+02 7.146416625976562500e+02 8.041162719726562500e+02 9.212918090820312500e+02 9.172545166015625000e+02 9.649027099609375000e+02 9.397121582031250000e+02 9.148059082031250000e+02 9.347327880859375000e+02 9.524362792968750000e+02 9.896284179687500000e+02
9.336083374023437500e+02 8.626229248046875000e+02 8.118047485351562500e+02 7.757011108398437500e+02 8.246560058593750000e+02 7.753315429687500000e+02 7.050850830078125000e+02 6.500942993164062500e+02 5.744266357421875000e+02 5.978200683593750000e+02 5.691211547851562500e+02 6.077441406250000000e+02 5.881359252929687500e+02 6.115731201171875000e+02 6.620299072265625000e+02 7.219404907226562500e+02 6.806539306640625000e+02 5.952148437500000000e+02 6.366414794921875000e+02 5.938806152343750000e+02 6.467723388671875000e+02 7.032489013671875000e+02 7.626873168945312500e+02 7.269453125000000000e+02 6.114937744140625000e+02 5.389779052734375000e+02 4.362539367675781250e+02 4.208049621582031250e+02 4.932071838378906250e+02 5.524653320312500000e+02 5.840708618164062500e+02 6.141885375976562500e+02 6.263287353515625000e+02 6.134434814453125000e+02 6.288140258789062500e+02 6.082574462890625000e+02 6.461918334960937500e+02 6.994309692382812500e+02 6.781697998046875000e+02 7.231250000000000000e+02 8.367450561523437500e+02 8.142115478515625000e+02 7.486388549804687500e+02 7.391745605468750000e+02 8.043563232421875000e+02 8.681024169921875000e+02 8.829576416015625000e+02 7.883322753906250000e+02 6.956109619140625000e+02 6.229551391601562500e+02 5.661675415039062500e+02 5.476411743164062500e+02 5.301817016601562500e+02 5.443710937500000000e+02 5.728986816406250000e+02 5.603334960937500000e+02 6.229013061523437500e+02 6.211377563476562500e+02 6.013367919921875000e+02 6.048709716796875000e+02 6.338884887695312500e+02 6.791756591796875000e+02 7.686369628906250000e+02 8.472364501953125000e+02 8.658941040039062500e+02 8.840715942382812500e+02 9.458502197265625000e+02 9.458977661132812500e+02 9.257449340820312500e+02 9.218624267578125000e+02 9.486148681640625000e+02 9.906906127929687500e+02
9.619360351562500000e+02 9.203443603515625000e+02 8.291978759765625000e+02 8.629196166992187500e+02 8.601809082031250000e+02 7.971955566406250000e+02 7.197966308593750000e+02 6.533964843750000000e+02 6.057521972656250000e+02 6.407257690429687500e+02 6.154923095703125000e+02 5.574582519531250000e+02 5.910390625000000000e+02 5.658996582031250000e+02 6.253323974609375000e+02 7.023140869140625000e+02 6.070283813476562500e+02 5.963308105468750000e+02 5.798651733398437500e+02 5.998120117187500000e+02 6.405184326171875000e+02 6.772537841796875000e+02 7.349929199218750000e+02 7.558015747070312500e+02 6.014013671875000000e+02 5.481296386718750000e+02 4.769723510742187500e+02 4.118420410156250000e+02 4.339725952148437500e+02 5.315410156250000000e+02 5.514981689453125000e+02 5.819282226562500000e+02 5.807432250976562500e+02 5.957683105468750000e+02 5.730566406250000000e+02 5.596157836914062500e+02 5.815284423828125000e+02 6.237266845703125000e+02 7.113161621093750000e+02 7.687992553710937500e+02 8.751105346679687500e+02 8.421417236328125000e+02 7.784638671875000000e+02 8.439125976562500000e+02 8.488577880859375000e+02 9.511423950195312500e+02 9.129792480468750000e+02 8.348744506835937500e+02 7.254023437500000000e+02 7.058259277343750000e+02 6.542174072265625000e+02 5.544022827148437500e+02 5.021944274902343750e+02 5.377786865234375000e+02 5.261906738281250000e+02 5.732243652343750000e+02 5.872252807617187500e+02 5.666790771484375000e+02 6.163687133789062500e+02 6.686041259765625000e+02 6.837609252929687500e+02 7.686176757812500000e+02 7.606343994140625000e+02 8.005433349609375000e+02 7.823753051757812500e+02 8.228018188476562500e+02 8.914174194335937500e+02 9.864064941406250000e+02 9.463830566406250000e+02 9.438554077148437500e+02 9.911189575195312500e+02 9.750730590820312500e+02
