7.413250122070312500e+02 7.215226440429687500e+02 6.995363769531250000e+02 5.985050048828125000e+02 6.616692504882812500e+02 6.977908935546875000e+02 6.044378662109375000e+02 6.179419555664062500e+02 6.217725830078125000e+02 6.566472167968750000e+02 6.729290771484375000e+02 7.039472045898437500e+02 8.126060791015625000e+02 8.470781250000000000e+02 8.015080566406250000e+02 6.859668579101562500e+02 6.890847778320312500e+02 7.425638427734375000e+02 5.975313720703125000e+02 5.082942504882812500e+02 4.513379516601562500e+02 5.189953002929687500e+02 5.645720214843750000e+02 6.328826293945312500e+02 5.976286010742187500e+02 5.550619506835937500e+02 6.598713989257812500e+02 7.207369384765625000e+02 7.053349609375000000e+02 6.397974853515625000e+02 5.895544433593750000e+02 5.969490356445312500e+02 6.809221801757812500e+02 7.650174560546875000e+02 7.646996459960937500e+02 7.225385131835937500e+02 6.516798095703125000e+02 6.533356933593750000e+02 5.982151489257812500e+02 5.985867309570312500e+02 6.039357910156250000e+02 7.043991088867187500e+02 7.409606933593750000e+02 7.426251220703125000e+02 8.524962768554687500e+02 8.329104614257812500e+02 8.098729248046875000e+02 7.960384521484375000e+02 8.411813354492187500e+02 8.438224487304687500e+02 9.148645019531250000e+02 9.165956420898437500e+02 9.014823608398437500e+02 8.952603149414062500e+02 8.896767578125000000e+02 9.009513549804687500e+02 9.277894897460937500e+02
7.805200805664062500e+02 7.215981445312500000e+02 6.621177978515625000e+02 6.375524902343750000e+02 6.821439208984375000e+02 7.335913085937500000e+02 6.179180908203125000e+02 6.395451049804687500e+02 6.656458740234375000e+02 6.823986816406250000e+02 7.150174560546875000e+02 7.421372680664062500e+02 8.381265258789062500e+02 8.828765258789062500e+02 8.194826660156250000e+02 7.002399291992187500e+02 6.699080200195312500e+02 6.729813232421875000e+02 5.691932373046875000e+02 5.679508056640625000e+02 4.449359741210937500e+02 4.693637695312500000e+02 5.400506591796875000e+02 6.357297973632812500e+02 6.515427246093750000e+02 6.352737426757812500e+02 6.625812377929687500e+02 7.204636230468750000e+02 7.612244873046875000e+02 7.082598876953125000e+02 6.476666870117187500e+02 6.756234130859375000e+02 7.471588134765625000e+02 7.827288818359375000e+02 7.492001953125000000e+02 6.680582885742187500e+02 6.016767578125000000e+02 5.838595581054687500e+02 5.909902343750000000e+02 5.741047363281250000e+02 6.042080078125000000e+02 6.727659912109375000e+02 6.723321533203125000e+02 6.887103881835937500e+02 8.166094970703125000e+02 8.194447021484375000e+02 7.755709228515625000e+02 7.730745849609375000e+02 7.846843872070312500e+02 8.041538085937500000e+02 9.373906860351562500e+02 9.525430297851562500e+02 9.281321411132812500e+02 8.833651733398437500e+02 8.747236938476562500e+02 8.786423950195312500e+02 9.055627441406250000e+02
7.836929931640625000e+02 7.300159301757812500e+02 6.725240478515625000e+02 6.547546997070312500e+02 6.995044555664062500e+02 7.474014892578125000e+02 6.543382568359375000e+02 6.470708618164062500e+02 6.743724365234375000e+02 6.904231567382812500e+02 6.923413085937500000e+02 7.339450683593750000e+02 8.154814453125000000e+02 8.606977539062500000e+02 8.512069702148437500e+02 7.470675048828125000e+02 7.014799194335937500e+02 6.451785888671875000e+02 6.458526611328125000e+02 6.019082031250000000e+02 4.449562683105468750e+02 4.482613220214843750e+02 5.251023559570312500e+02 6.277525634765625000e+02 6.378850097656250000e+02 6.164113769531250000e+02 6.994130859375000000e+02 7.598300781250000000e+02 7.961444702148437500e+02 7.217277221679687500e+02 7.079073486328125000e+02 7.247435302734375000e+02 8.271587524414062500e+02 7.740000000000000000e+02 7.314984741210937500e+02 6.562749023437500000e+02 6.830376586914062500e+02 6.271025390625000000e+02 5.534387817382812500e+02 5.812230834960937500e+02 5.888463745117187500e+02 6.124079589843750000e+02 6.166793212890625000e+02 6.684481201171875000e+02 7.744333496093750000e+02 7.305662231445312500e+02 7.187990722656250000e+02 7.630750732421875000e+02 8.229711914062500000e+02 8.536927490234375000e+02 8.863127441406250000e+02 9.549016723632812500e+02 9.584379882812500000e+02 9.258557128906250000e+02 9.025238037109375000e+02 8.674569091796875000e+02 8.640555419921875000e+02
7.961099853515625000e+02 7.469794921875000000e+02 6.988205566406250000e+02 7.402430419921875000e+02 7.256134643554687500e+02 6.941306152343750000e+02 7.535650634765625000e+02 7.282572021484375000e+02 7.080837402343750000e+02 7.497366943359375000e+02 7.563456420898437500e+02 7.547360229492187500e+02 7.940510253906250000e+02 7.792899169921875000e+02 7.754304809570312500e+02 7.561625366210937500e+02 7.199890747070312500e+02 7.042727050781250000e+02 6.731143798828125000e+02 5.764331054687500000e+02 4.277242736816406250e+02 4.374152832031250000e+02 5.219518432617187500e+02 5.976423950195312500e+02 5.863837280273437500e+02 5.965069580078125000e+02 6.509639892578125000e+02 6.916057739257812500e+02 7.439324951171875000e+02 7.564106445312500000e+02 7.381011962890625000e+02 7.367433471679687500e+02 8.464941406250000000e+02 7.884659423828125000e+02 7.418493652343750000e+02 6.964093627929687500e+02 7.549013061523437500e+02 7.152011718750000000e+02 5.744863281250000000e+02 5.480006103515625000e+02 5.811621093750000000e+02 5.805585937500000000e+02 6.054180908203125000e+02 6.608863525390625000e+02 7.086587524414062500e+02 6.768336791992187500e+02 7.420401611328125000e+02 8.264875488281250000e+02 8.305060424804687500e+02 7.810114135742187500e+02 8.621938476562500000e+02 9.406888427734375000e+02 9.483797607421875000e+02 9.146401367187500000e+02 8.918570556640625000e+02 8.807172851562500000e+02 8.242333984375000000e+02
7.992883911132812500e+02 7.652037353515625000e+02 7.334008178710937500e+02 7.726213989257812500e+02 7.167713623046875000e+02 6.521472167968750000e+02 6.913219604492187500e+02 6.566591796875000000e+02 6.659005737304687500e+02 6.846162719726562500e+02 7.147155151367187500e+02 7.721216430664062500e+02 7.840465698242187500e+02 6.891119995117187500e+02 7.108770751953125000e+02 7.035347900390625000e+02 7.224899902343750000e+02 7.685518798828125000e+02 6.626369628906250000e+02 5.962207031250000000e+02 4.252631225585937500e+02 4.285724182128906250e+02 4.909838867187500000e+02 5.558043212890625000e+02 6.193366088867187500e+02 6.820026855468750000e+02 7.077542724609375000e+02 7.241541137695312500e+02 7.579001464843750000e+02 7.840709838867187500e+02 7.633002929687500000e+02 7.628753051757812500e+02 8.391998291015625000e+02 7.964061279296875000e+02 7.693735351562500000e+02 7.586458740234375000e+02 8.034295654296875000e+02 7.720500488281250000e+02 6.129651489257812500e+02 5.616589355468750000e+02 5.424668579101562500e+02 5.676743164062500000e+02 5.758393554687500000e+02 6.311987304687500000e+02 6.576607055664062500e+02 6.477841796875000000e+02 7.145308837890625000e+02 7.567250976562500000e+02 7.511164550781250000e+02 7.512411499023437500e+02 8.745627441406250000e+02 9.204323120117187500e+02 9.692246704101562500e+02 9.285460205078125000e+02 9.027611083984375000e+02 9.248603515625000000e+02 9.087401123046875000e+02
8.814200439453125000e+02 8.361992187500000000e+02 7.764000244140625000e+02 7.966599121093750000e+02 7.472191772460937500e+02 6.739119873046875000e+02 6.219100341796875000e+02 6.242773437500000000e+02 6.127167968750000000e+02 6.272710571289062500e+02 6.577831420898437500e+02 7.026655273437500000e+02 7.474215087890625000e+02 6.636964111328125000e+02 6.360065917968750000e+02 6.284886474609375000e+02 6.785897827148437500e+02 7.410961914062500000e+02 6.711643676757812500e+02 5.930624389648437500e+02 4.354866027832031250e+02 4.180057373046875000e+02 4.713027343750000000e+02 5.735083007812500000e+02 6.292169189453125000e+02 6.953488769531250000e+02 6.471501464843750000e+02 6.822622070312500000e+02 6.643069458007812500e+02 7.592697753906250000e+02 7.731888427734375000e+02 7.909990844726562500e+02 8.447335205078125000e+02 8.003853759765625000e+02 7.457112426757812500e+02 7.925917358398437500e+02 8.550712890625000000e+02 7.934128417968750000e+02 6.697650146484375000e+02 6.028724975585937500e+02 5.406153564453125000e+02 5.562606201171875000e+02 5.659605712890625000e+02 5.968081054687500000e+02 5.972569580078125000e+02 6.566259765625000000e+02 6.909968872070312500e+02 6.759242553710937500e+02 6.712654418945312500e+02 7.175920410156250000e+02 8.916608886718750000e+02 9.308421020507812500e+02 9.461484375000000000e+02 9.303529052734375000e+02 9.139387207031250000e+02 9.398298950195312500e+02 9.928641357421875000e+02
9.166329345703125000e+02 8.617316894531250000e+02 8.078307495117187500e+02 8.298656616210937500e+02 7.555972900390625000e+02 6.809362792968750000e+02 5.961768188476562500e+02 5.891821289062500000e+02 5.816139526367187500e+02 6.043358154296875000e+02 5.903157348632812500e+02 6.326873779296875000e+02 6.911632080078125000e+02 6.441625976562500000e+02 6.023643188476562500e+02 6.060042114257812500e+02 6.606257324218750000e+02 7.127536621093750000e+02 7.116783447265625000e+02 6.193089599609375000e+02 4.643273620605468750e+02 4.193073730468750000e+02 4.512660827636718750e+02 5.598193359375000000e+02 6.025844726562500000e+02 6.589121704101562500e+02 6.243257446289062500e+02 6.047645263671875000e+02 5.987009887695312500e+02 6.647525634765625000e+02 6.902129516601562500e+02 7.501690063476562500e+02 8.173624267578125000e+02 7.600429687500000000e+02 7.539347534179687500e+02 8.789263916015625000e+02 9.080405883789062500e+02 8.164501953125000000e+02 6.781417236328125000e+02 6.188052978515625000e+02 5.871336059570312500e+02 5.305865478515625000e+02 5.572557373046875000e+02 5.542414550781250000e+02 6.035093994140625000e+02 6.015392456054687500e+02 5.869898071289062500e+02 6.409824829101562500e+02 6.985787353515625000e+02 7.646192626953125000e+02 8.791505126953125000e+02 8.407496948242187500e+02 8.783349609375000000e+02 9.496994628906250000e+02 9.297775268554687500e+02 9.340650634765625000e+02 1.010330688476562500e+03
9.656887817382812500e+02 8.920801391601562500e+02 8.534916381835937500e+02 8.495723876953125000e+02 7.841362304687500000e+02 7.158595581054687500e+02 6.228701782226562500e+02 6.339275512695312500e+02 6.357831420898437500e+02 5.699792480468750000e+02 5.633670043945312500e+02 6.137902221679687500e+02 6.281396484375000000e+02 5.961594848632812500e+02 5.911938476562500000e+02 6.090607910156250000e+02 6.495216064453125000e+02 6.974512939453125000e+02 7.388975830078125000e+02 6.445100708007812500e+02 5.096008911132812500e+02 4.395915832519531250e+02 4.174008789062500000e+02 5.261052246093750000e+02 5.596752929687500000e+02 6.188421630859375000e+02 5.771832275390625000e+02 5.696029052734375000e+02 5.828566284179687500e+02 6.617379150390625000e+02 7.416169433593750000e+02 7.981553955078125000e+02 8.664852905273437500e+02 8.057479248046875000e+02 8.571396484375000000e+02 9.273583374023437500e+02 9.468974609375000000e+02 8.761310424804687500e+02 7.378156738281250000e+02 7.009219360351562500e+02 6.194499511718750000e+02 5.048121948242187500e+02 5.234892578125000000e+02 5.432195434570312500e+02 5.752850341796875000e+02 5.566740112304687500e+02 6.115376586914062500e+02 6.664863891601562500e+02 7.294064941406250000e+02 7.392518920898437500e+02 7.705428466796875000e+02 7.804621582031250000e+02 8.304452514648437500e+02 9.720077514648437500e+02 9.194848632812500000e+02 9.329861450195312500e+02 9.413020019531250000e+02
9.516279296875000000e+02 9.138546752929687500e+02 9.464906005859375000e+02 8.789351196289062500e+02 7.852229003906250000e+02 7.309899902343750000e+02 6.569547119140625000e+02 6.411565551757812500e+02 6.312902832031250000e+02 5.502045898437500000e+02 5.685037841796875000e+02 5.966950683593750000e+02 6.475896606445312500e+02 6.012651367187500000e+02 5.578934936523437500e+02 6.077829589843750000e+02 6.456470336914062500e+02 6.856483764648437500e+02 7.690751342773437500e+02 7.216295166015625000e+02 6.009752807617187500e+02 4.940186767578125000e+02 4.225258483886718750e+02 5.082104797363281250e+02 5.800349121093750000e+02 5.644949951171875000e+02 5.816169433593750000e+02 5.887322998046875000e+02 6.317196655273437500e+02 6.750503540039062500e+02 7.207920532226562500e+02 7.846440429687500000e+02 9.310949707031250000e+02 8.903724975585937500e+02 9.331140136718750000e+02 8.722738037109375000e+02 9.142075195312500000e+02 9.222333984375000000e+02 7.867113647460937500e+02 6.893403320312500000e+02 5.978146362304687500e+02 5.222445678710937500e+02 4.924032592773437500e+02 5.299390869140625000e+02 5.512835083007812500e+02 5.448201904296875000e+02 5.753427734375000000e+02 6.479135742187500000e+02 6.633099365234375000e+02 6.508925781250000000e+02 7.175810546875000000e+02 7.691533203125000000e+02 8.355148925781250000e+02 8.974918212890625000e+02 8.459255371093750000e+02 8.543148803710937500e+02 8.419492187500000000e+02
1.024154296875000000e+03 9.838084106445312500e+02 1.028158447265625000e+03 9.296008300781250000e+02 8.457808837890625000e+02 7.883365478515625000e+02 6.715100097656250000e+02 6.474373779296875000e+02 6.302844238281250000e+02 5.775435180664062500e+02 5.323833007812500000e+02 5.237723999023437500e+02 6.165277099609375000e+02 5.781590576171875000e+02 5.412402343750000000e+02 5.944622192382812500e+02 6.079557495117187500e+02 6.636234130859375000e+02 7.288432617187500000e+02 7.462116088867187500e+02 6.332030029296875000e+02 5.416119384765625000e+02 4.673451843261718750e+02 4.669102172851562500e+02 5.036332397460937500e+02 5.277438964843750000e+02 5.902556762695312500e+02 6.386493530273437500e+02 6.864554443359375000e+02 7.784188232421875000e+02 7.959531250000000000e+02 8.538814697265625000e+02 9.675144042968750000e+02 8.924960937500000000e+02 8.679505615234375000e+02 8.133522338867187500e+02 8.315704956054687500e+02 8.714749755859375000e+02 7.721639404296875000e+02 6.948609619140625000e+02 6.591289672851562500e+02 5.845506591796875000e+02 4.987493896484375000e+02 4.916662597656250000e+02 5.283713378906250000e+02 5.358869018554687500e+02 5.718186645507812500e+02 6.031668701171875000e+02 6.041896972656250000e+02 6.594114379882812500e+02 8.273560180664062500e+02 8.725720214843750000e+02 9.126356201171875000e+02 8.597912597656250000e+02 7.782944946289062500e+02 7.513495483398437500e+02 7.748331909179687500e+02
